Territory,LOCATION_NAME,subcategory,BRAND,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,WS_TERRITORY,WEIGHT FACTOR,AWS
CENTRAL,ENDARASHA,oil,SALIT,6474.028,0.060423298,0.005739344,33.57641678,0.086035897,2.888777151
CENTRAL,ENDARASHA,toilet soap,SAWA SOAP,588.686,0.005638267,0.00386132,,0.035138082,
CENTRAL,EQUATOR,bar soap,USHINDI BAR,4.4,0.000216124,6.05E-05,58.4682421,0.000624096,0.036489783
CENTRAL,EQUATOR,bar soap,WHITEWASH,1.05,1.54E-05,8.94E-06,,3.80E-05,
CENTRAL,EQUATOR,bathing soap,4U,12,0.000208912,0.000956614,,0.006511628,
CENTRAL,EQUATOR,bathing soap,DETREX,1.44,4.30E-05,4.85E-05,66.28906039,0.000235243,0.015594011
CENTRAL,EQUATOR,bathing soap,SAWA SOAP,2.8,2.66E-05,1.84E-05,,0.001267485,
CENTRAL,EQUATOR,lotion,BELLEZA,0.498020833,0.000241546,6.26E-05,,0.000720851,
CENTRAL,EQUATOR,lotion,FRESCO,0.2988125,0.000202655,5.37E-05,,0.000485555,
CENTRAL,EQUATOR,milking jelly,SAWA MILKING JELLY,0.765,7.12E-06,5.02E-06,,0.00049233,
CENTRAL,EQUATOR,oil,FRESH FRI,19.1565,0.00024799,6.95E-05,44.40835361,0.000788022,0.034994764
CENTRAL,EQUATOR,petroleum jelly,SAWA PETROLLEUM JELLY,0.085,6.11E-07,5.58E-07,,0.00069735,
CENTRAL,EQUATOR,toilet soap,SAWA SOAP,13.77,0.000131686,9.03E-05,,0.000820679,
CENTRAL,GAKINDO,bar soap,NDUME,430,0.003403752,0.000583052,10.97780161,0.003403752,0.03736572
CENTRAL,GAKINDO,bar soap,USHINDI BAR,83.3,0.004091612,0.001145095,58.4682421,0.011815268,0.69081793
CENTRAL,GAKINDO,bar soap,WHITEWASH,201.6,0.002954197,0.001716495,,0.007292709,
CENTRAL,GAKINDO,bathing soap,4U,132,0.002596472,0.010522749,,0.080930233,
CENTRAL,GAKINDO,bathing soap,DETREX,11.52,0.000344154,0.000387649,66.28906039,0.001881941,0.124752091
CENTRAL,GAKINDO,bathing soap,DIVA,9.6,0.009913837,0.016397195,,0.160586026,
CENTRAL,GAKINDO,dishwashing paste,USHINDI DISHWASHING PASTE,4.8,0.000235771,6.60E-05,,0.005503325,
CENTRAL,GAKINDO,fat,DIRIA,312,0.007059843,0.0108568,47.16697108,0.03119488,1.471367994
CENTRAL,GAKINDO,fat,FRYMATE,409,0.014234193,0.010741505,37.92318682,0.055574451,2.107560277
CENTRAL,GAKINDO,fat,MPISHI POA,251.566,0.014207801,0.011240436,41.53469221,0.036238843,1.5051692
CENTRAL,GAKINDO,lotion,BELLEZA,25.10025,0.015157005,0.003155009,,0.045233375,
CENTRAL,GAKINDO,lotion,FRESCO,25.10025,0.025433175,0.004509421,,0.060937121,
CENTRAL,GAKINDO,milking jelly,SAWA MILKING JELLY,132.728,0.001271073,0.000870592,,0.087846062,
CENTRAL,GAKINDO,oil,FRESH FRI,933.79,0.012665911,0.003388593,44.40835361,0.040247737,1.787335719
CENTRAL,GAKINDO,oil,POPCO,696.674,0.007841117,0.003947514,44.00430178,0.007841117,0.34504286
CENTRAL,GAKINDO,oil,SALIT,13568.174,0.126638828,0.012028434,33.57641678,0.180319274,6.054475105
